datetime_utc_measured,total_demand_kw,number
7/23/20 19:00,1036.8,1
7/23/20 18:55,1029.6,2
7/23/20 18:50,1029.6,3
7/23/20 18:45,1036.8,4
7/23/20 18:40,1044,5
7/23/20 18:35,1036.8,6
7/23/20 18:30,1008,7
7/23/20 18:25,1044,8
7/23/20 18:20,1044,9
7/23/20 18:15,1022.4,10
7/23/20 18:10,1044,11
7/23/20 18:05,1065.6,12
7/23/20 18:00,1044,13
7/23/20 17:55,1036.8,14
7/23/20 17:50,1022.4,15
7/23/20 17:45,1029.6,16
7/23/20 17:40,1036.8,17
7/23/20 17:35,1036.8,18
7/23/20 17:30,1022.4,19
7/23/20 17:25,1058.4,20
7/23/20 17:20,1029.6,21
7/23/20 17:15,1022.4,22
7/23/20 17:10,1022.4,23
7/23/20 17:05,1058.4,24
7/23/20 17:00,1051.2,25
7/23/20 16:55,1036.8,26
7/23/20 16:50,1065.6,27
7/23/20 16:45,1044,28
7/23/20 16:40,1044,29
7/23/20 16:35,1036.8,30
7/23/20 16:30,1065.6,31
7/23/20 16:25,1051.2,32
7/23/20 16:20,1029.6,33
7/23/20 16:15,1044,34
7/23/20 16:10,1051.2,35
7/23/20 16:05,1036.8,36
7/23/20 16:00,1029.6,37
7/23/20 15:55,1049.976,38
7/23/20 15:50,1031.544,39
7/23/20 15:45,1031.544,40
